ward_code,ward_name,local_authority,POP2015
E05000306,Brooklands,Havering,16798
E05000307,Cranham,Havering,12777
E05000308,Elm Park,Havering,12814
E05000309,Emerson Park,Havering,12095
E05000310,Gooshays,Havering,15781
E05000311,Hacton,Havering,12505
E05000312,Harold Wood,Havering,13779
E05000313,Havering Park,Havering,13497
E05000314,Heaton,Havering,13914
E05000315,Hylands,Havering,13406
E05000316,Mawneys,Havering,13400
E05000317,Pettits,Havering,13146
E05000318,Rainham and Wennington,Havering,12992
E05000319,Romford Town,Havering,17513
E05000320,St Andrew's,Havering,13696
E05000321,South Hornchurch,Havering,14282
E05000322,Squirrel's Heath,Havering,13986
E05000323,Upminster,Havering,12994
E05000324,Barnhill,Hillingdon,14386
E05000325,Botwell,Hillingdon,17405
E05000326,Brunel,Hillingdon,15736
E05000327,Cavendish,Hillingdon,11879
E05000328,Charville,Hillingdon,13147
E05000329,Eastcote and East Ruislip,Hillingdon,12844
E05000330,Harefield,Hillingdon,7513
E05000331,Heathrow Villages,Hillingdon,13862
E05000332,Hillingdon East,Hillingdon,13332
E05000333,Ickenham,Hillingdon,10521
E05000334,Manor,Hillingdon,11861
E05000335,Northwood,Hillingdon,10737
E05000336,Northwood Hills,Hillingdon,11959
E05000337,Pinkwell,Hillingdon,15953
E05000338,South Ruislip,Hillingdon,12889
E05000339,Townfield,Hillingdon,15856
E05000340,Uxbridge North,Hillingdon,13184
E05000341,Uxbridge South,Hillingdon,16231
E05000342,West Drayton,Hillingdon,16622
E05000343,West Ruislip,Hillingdon,11391
E05000344,Yeading,Hillingdon,14874
E05000345,Yiewsley,Hillingdon,13874
E05000346,Bedfont,Hounslow,13428
E05000347,Brentford,Hounslow,15085
E05000348,Chiswick Homefields,Hounslow,11362
E05000349,Chiswick Riverside,Hounslow,11503
E05000350,Cranford,Hounslow,13475
E05000351,Feltham North,Hounslow,12058
E05000352,Feltham West,Hounslow,16178
E05000353,Hanworth,Hounslow,12642
E05000354,Hanworth Park,Hounslow,12113
E05000355,Heston Central,Hounslow,12741
E05000356,Heston East,Hounslow,12795
E05000357,Heston West,Hounslow,12722
E05000358,Hounslow Central,Hounslow,17392
E05000359,Hounslow Heath,Hounslow,15562
E05000360,Hounslow South,Hounslow,11541
E05000361,Hounslow West,Hounslow,14315
E05000362,Isleworth,Hounslow,12312
E05000363,Osterley and Spring Grove,Hounslow,13441
E05000364,Syon,Hounslow,13935
E05000365,Turnham Green,Hounslow,11812
E05000366,Barnsbury,Islington,13253
E05000367,Bunhill,Islington,17082
E05000368,Caledonian,Islington,15264
E05000369,Canonbury,Islington,13099
E05000370,Clerkenwell,Islington,12502
E05000371,Finsbury Park,Islington,16310
E05000372,Highbury East,Islington,12950
E05000373,Highbury West,Islington,17514
E05000374,Hillrise,Islington,12432
E05000375,Holloway,Islington,17284
E05000376,Junction,Islington,12629
E05000377,Mildmay,Islington,14143
E05000378,St George's,Islington,13107
E05000379,St Mary's,Islington,12904
E05000380,St Peter's,Islington,12988
E05000381,Tollington,Islington,14046
E05000400,Alexandra,Kingston upon Thames,9639
E05000401,Berrylands,Kingston upon Thames,9708
E05000402,Beverley,Kingston upon Thames,10726
E05000403,Canbury,Kingston upon Thames,14568
E05000404,Chessington North and Hook,Kingston upon Thames,9175
E05000405,Chessington South,Kingston upon Thames,10493
E05000406,Coombe Hill,Kingston upon Thames,11534
E05000407,Coombe Vale,Kingston upon Thames,10192
E05000408,Grove,Kingston upon Thames,11834
E05000409,Norbiton,Kingston upon Thames,10572
E05000410,Old Malden,Kingston upon Thames,9749
E05000411,St James,Kingston upon Thames,9181
E05000412,St Mark's,Kingston upon Thames,12856
E05000413,Surbiton Hill,Kingston upon Thames,11159
E05000414,Tolworth and Hook Rise,Kingston upon Thames,10294
E05000415,Tudor,Kingston upon Thames,9929
E05000416,Bishop's,Lambeth,11621
E05000417,Brixton Hill,Lambeth,16749
E05000418,Clapham Common,Lambeth,13085
E05000419,Clapham Town,Lambeth,14563
E05000420,Coldharbour,Lambeth,17096
E05000421,Ferndale,Lambeth,14447
E05000422,Gipsy Hill,Lambeth,14164
E05000423,Herne Hill,Lambeth,16089
E05000424,Knight's Hill,Lambeth,15943
E05000425,Larkhall,Lambeth,17442
E05000426,Oval,Lambeth,15760
E05000427,Prince's,Lambeth,15599
E05000428,St Leonard's,Lambeth,16987
E05000429,Stockwell,Lambeth,15138
E05000430,Streatham Hill,Lambeth,15522
E05000431,Streatham South,Lambeth,15568
E05000432,Streatham Wells,Lambeth,16221
E05000433,Thornton,Lambeth,13054
E05000434,Thurlow Park,Lambeth,14147
E05000435,Tulse Hill,Lambeth,16199
E05000436,Vassall,Lambeth,15342
E05000437,Bellingham,Lewisham,15962
E05000438,Blackheath,Lewisham,14721
E05000439,Brockley,Lewisham,18390
E05000440,Catford South,Lewisham,15819
E05000441,Crofton Park,Lewisham,15629
E05000442,Downham,Lewisham,15664
E05000443,Evelyn,Lewisham,18529
E05000444,Forest Hill,Lewisham,15978
E05000445,Grove Park,Lewisham,15046
E05000446,Ladywell,Lewisham,14775
E05000447,Lee Green,Lewisham,16098
E05000448,Lewisham Central,Lewisham,19735
E05000449,New Cross,Lewisham,16746
E05000450,Perry Vale,Lewisham,16383
E05000451,Rushey Green,Lewisham,15490
E05000452,Sydenham,Lewisham,16858
E05000453,Telegraph Hill,Lewisham,17583
E05000454,Whitefoot,Lewisham,15593
E05000455,Abbey,Merton,10770
E05000456,Cannon Hill,Merton,9370
E05000457,Colliers Wood,Merton,10910
E05000458,Cricket Green,Merton,12235
E05000459,Dundonald,Merton,9512
E05000460,Figge's Marsh,Merton,11809
E05000461,Graveney,Merton,10093
E05000462,Hillside,Merton,9115
E05000463,Lavender Fields,Merton,10982
E05000464,Longthornton,Merton,10726
E05000465,Lower Morden,Merton,9136
E05000466,Merton Park,Merton,9710
E05000467,Pollards Hill,Merton,11039
E05000468,Ravensbury,Merton,10088
E05000469,Raynes Park,Merton,9962
E05000470,St Helier,Merton,10856
E05000471,Trinity,Merton,10180
E05000472,Village,Merton,8188
E05000473,West Barnes,Merton,10202
E05000474,Wimbledon Park,Merton,11082
E05000475,Beckton,Newham,16077
E05000476,Boleyn,Newham,17201
E05000477,Canning Town North,Newham,16442
E05000478,Canning Town South,Newham,18184
E05000479,Custom House,Newham,14142
E05000480,East Ham Central,Newham,17238
E05000481,East Ham North,Newham,14626
E05000482,East Ham South,Newham,16652
E05000483,Forest Gate North,Newham,16563
E05000484,Forest Gate South,Newham,17783
E05000485,Green Street East,Newham,16379
E05000486,Green Street West,Newham,15307
E05000487,Little Ilford,Newham,17976
E05000488,Manor Park,Newham,15990
E05000489,Plaistow North,Newham,15998
E05000490,Plaistow South,Newham,17676
E05000491,Royal Docks,Newham,12672
E05000492,Stratford and New Town,Newham,27615
E05000493,Wall End,Newham,15351
E05000494,West Ham,Newham,16382
E05000495,Aldborough,Redbridge,15355
E05000496,Barkingside,Redbridge,13204
E05000497,Bridge,Redbridge,12409
E05000498,Chadwell,Redbridge,15941
E05000499,Church End,Redbridge,12580
E05000500,Clayhall,Redbridge,14088
E05000501,Clementswood,Redbridge,16198
E05000502,Cranbrook,Redbridge,13406
E05000503,Fairlop,Redbridge,13423
E05000504,Fullwell,Redbridge,13218
E05000505,Goodmayes,Redbridge,14245
E05000506,Hainault,Redbridge,13961
E05000507,Loxford,Redbridge,17471
E05000508,Mayfield,Redbridge,14813
E05000509,Monkhams,Redbridge,10540
E05000510,Newbury,Redbridge,17917
E05000511,Roding,Redbridge,13158
E05000512,Seven Kings,Redbridge,16306
E05000513,Snaresbrook,Redbridge,12546
E05000514,Valentines,Redbridge,15236
E05000515,Wanstead,Redbridge,11913
E05000516,Barnes,Richmond upon Thames,10131
E05000517,East Sheen,Richmond upon Thames,10479
E05000518,Fulwell and Hampton Hill,Richmond upon Thames,10781
E05000519,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,10679
E05000520,Hampton,Richmond upon Thames,10264
E05000521,Hampton North,Richmond upon Thames,9602
E05000522,Hampton Wick,Richmond upon Thames,11391
E05000523,Heathfield,Richmond upon Thames,10624
E05000524,Kew,Richmond upon Thames,11518
E05000525,Mortlake and Barnes Common,Richmond upon Thames,11405
E05000526,North Richmond,Richmond upon Thames,11274
E05000527,St Margarets and North Twickenham,Richmond upon Thames,11649
E05000528,South Richmond,Richmond upon Thames,11223
E05000529,South Twickenham,Richmond upon Thames,10425
E05000530,Teddington,Richmond upon Thames,10693
E05000531,Twickenham Riverside,Richmond upon Thames,10838
E05000532,West Twickenham,Richmond upon Thames,11086
E05000533,Whitton,Richmond upon Thames,10062
E05000534,Brunswick Park,Southwark,13241
E05000535,Camberwell Green,Southwark,15928
E05000536,Cathedrals,Southwark,15971
E05000537,Chaucer,Southwark,15593
E05000538,College,Southwark,11993
E05000539,East Dulwich,Southwark,12686
E05000540,East Walworth,Southwark,11926
E05000541,Faraday,Southwark,12082
E05000542,Grange,Southwark,17981
E05000543,Livesey,Southwark,15124
E05000544,Newington,Southwark,15853
E05000545,Nunhead,Southwark,15281
E05000546,Peckham,Southwark,14893
E05000547,Peckham Rye,Southwark,14128
E05000548,Riverside,Southwark,18076
E05000549,Rotherhithe,Southwark,16046
E05000550,South Bermondsey,Southwark,14756
E05000551,South Camberwell,Southwark,13776
E05000552,Surrey Docks,Southwark,13921
E05000553,The Lane,Southwark,16393
E05000554,Village,Southwark,12786
E05000555,Beddington North,Sutton,10672
E05000556,Beddington South,Sutton,11148
E05000557,Belmont,Sutton,10470
E05000558,Carshalton Central,Sutton,10434
E05000559,Carshalton South and Clockhouse,Sutton,10392
E05000560,Cheam,Sutton,10487
E05000561,Nonsuch,Sutton,10919
E05000562,St Helier,Sutton,12447
E05000563,Stonecot,Sutton,10811
E05000564,Sutton Central,Sutton,11772
E05000565,Sutton North,Sutton,10900
E05000566,Sutton South,Sutton,10400
E05000567,Sutton West,Sutton,11055
E05000568,The Wrythe,Sutton,10635
E05000569,Wallington North,Sutton,11563
E05000570,Wallington South,Sutton,10767
E05000571,Wandle Valley,Sutton,12132
E05000572,Worcester Park,Sutton,12866
E05000590,Cann Hall,Waltham Forest,14157
E05000591,Cathall,Waltham Forest,13179
E05000592,Chapel End,Waltham Forest,14775
E05000593,Chingford Green,Waltham Forest,10609
E05000594,Endlebury,Waltham Forest,11108
E05000595,Forest,Waltham Forest,13255
E05000596,Grove Green,Waltham Forest,15184
E05000597,Hale End and Highams Park,Waltham Forest,12375
E05000598,Hatch Lane,Waltham Forest,11626
E05000599,High Street,Waltham Forest,14849
E05000600,Higham Hill,Waltham Forest,14298
E05000601,Hoe Street,Waltham Forest,14543
E05000602,Larkswood,Waltham Forest,12085
E05000603,Lea Bridge,Waltham Forest,15881
E05000604,Leyton,Waltham Forest,15442
E05000605,Leytonstone,Waltham Forest,13599
E05000606,Markhouse,Waltham Forest,13639
E05000607,Valley,Waltham Forest,12349
E05000608,William Morris,Waltham Forest,13706
E05000609,Wood Street,Waltham Forest,14012
E05000610,Balham,Wandsworth,15665
E05000611,Bedford,Wandsworth,14240
E05000612,Earlsfield,Wandsworth,16349
E05000613,East Putney,Wandsworth,15380
E05000614,Fairfield,Wandsworth,15216
E05000615,Furzedown,Wandsworth,16834
E05000616,Graveney,Wandsworth,15561
E05000617,Latchmere,Wandsworth,15945
E05000618,Nightingale,Wandsworth,14742
E05000619,Northcote,Wandsworth,16128
E05000620,Queenstown,Wandsworth,17592
E05000621,Roehampton and Putney Heath,Wandsworth,16790
E05000622,St Mary's Park,Wandsworth,17897
E05000623,Shaftesbury,Wandsworth,15510
E05000624,Southfields,Wandsworth,16402
E05000625,Thamesfield,Wandsworth,15615
E05000626,Tooting,Wandsworth,16348
E05000627,Wandsworth Common,Wandsworth,15261
E05000628,West Hill,Wandsworth,16502
E05000629,West Putney,Wandsworth,15500
E05000630,Abbey Road,Westminster,12944
E05000631,Bayswater,Westminster,11184
E05000632,Bryanston and Dorset Square,Westminster,12959
E05000633,Churchill,Westminster,10634
E05000634,Church Street,Westminster,12674
E05000635,Harrow Road,Westminster,12927
E05000636,Hyde Park,Westminster,12253
E05000637,Knightsbridge and Belgravia,Westminster,10433
E05000638,Lancaster Gate,Westminster,14401
E05000639,Little Venice,Westminster,11388
E05000640,Maida Vale,Westminster,10929
E05000641,Marylebone High Street,Westminster,11894
E05000642,Queen's Park,Westminster,13504
E05000643,Regent's Park,Westminster,13186
E05000644,St James's,Westminster,10884
E05000645,Tachbrook,Westminster,8996
E05000646,Vincent Square,Westminster,11276
E05000647,Warwick,Westminster,10086
E05000648,Westbourne,Westminster,13668
E05000649,West End,Westminster,11827
E05009367,Brownswood,Hackney,8972
E05009368,Cazenove,Hackney,15587
E05009369,Clissold,Hackney,13536
E05009370,Dalston,Hackney,9680
E05009371,De Beauvoir,Hackney,9856
E05009372,Hackney Central,Hackney,13308
E05009373,Hackney Downs,Hackney,14092
E05009374,Hackney Wick,Hackney,12668
E05009375,Haggerston,Hackney,13578
E05009376,Homerton,Hackney,14038
E05009377,Hoxton East & Shoreditch,Hackney,13153
E05009378,Hoxton West,Hackney,14091
E05009379,King's Park,Hackney,12937
E05009380,Lea Bridge,Hackney,15654
E05009381,London Fields,Hackney,12818
E05009382,Shacklewell,Hackney,9599
E05009383,Springfield,Hackney,16941
E05009384,Stamford Hill West,Hackney,11220
E05009385,Stoke Newington,Hackney,14143
E05009386,Victoria,Hackney,13342
E05009387,Woodberry Down,Hackney,9413
E05009388,Abingdon,Kensington and Chelsea,9463
E05009389,Brompton & Hans Town,Kensington and Chelsea,10239
E05009390,Campden,Kensington and Chelsea,9343
E05009391,Chelsea Riverside,Kensington and Chelsea,8588
E05009392,Colville,Kensington and Chelsea,9016
E05009393,Courtfield,Kensington and Chelsea,10695
E05009394,Dalgarno,Kensington and Chelsea,7109
E05009395,Earl's Court,Kensington and Chelsea,10045
E05009396,Golborne,Kensington and Chelsea,8188
E05009397,Holland,Kensington and Chelsea,8664
E05009398,Norland,Kensington and Chelsea,6037
E05009399,Notting Dale,Kensington and Chelsea,8252
E05009400,Pembridge,Kensington and Chelsea,5784
E05009401,Queen's Gate,Kensington and Chelsea,9533
E05009402,Redcliffe,Kensington and Chelsea,10199
E05009403,Royal Hospital,Kensington and Chelsea,10513
E05009404,St. Helen's,Kensington and Chelsea,6174
E05009405,Stanley,Kensington and Chelsea,10747
E05009317,Bethnal Green,Tower Hamlets,20036
E05009318,Blackwall & Cubitt Town,Tower Hamlets,16852
E05009319,Bow East,Tower Hamlets,18070
E05009320,Bow West,Tower Hamlets,13920
E05009321,Bromley North,Tower Hamlets,10581
E05009322,Bromley South,Tower Hamlets,12506
E05009323,Canary Wharf,Tower Hamlets,16589
E05009324,Island Gardens,Tower Hamlets,15862
E05009325,Lansbury,Tower Hamlets,17185
E05009326,Limehouse,Tower Hamlets,6608
E05009327,Mile End,Tower Hamlets,20626
E05009328,Poplar,Tower Hamlets,7442
E05009329,St Dunstan's,Tower Hamlets,13926
E05009330,St Katharine's & Wapping,Tower Hamlets,11657
E05009331,St Peter's,Tower Hamlets,19988
E05009332,Shadwell,Tower Hamlets,14276
E05009333,Spitalfields & Banglatown,Tower Hamlets,13995
E05009334,Stepney Green,Tower Hamlets,12465
E05009335,Weavers,Tower Hamlets,14302
E05009336,Whitechapel,Tower Hamlets,16942
E05009288,Aldersgate,City of London,1868
E05009292,Bishopsgate,City of London,141
E05009302,Cripplegate,City of London,1934
E05009304,Farringdon Within,City of London,251
E05009305,Farringdon Without,City of London,962
E05009308,Portsoken,City of London,1121
E05009309,Queenhithe,City of London,259
E05009310,Tower,City of London,151
