ward_code,ward_name,local_authority,POP2011,,,,
E05000080,Northumberland Heath,Bexley,"10,599",,,,
E05000081,St Mary's,Bexley,"10,488",,,,
E05000082,St Michael's,Bexley,"11,156",,,,
E05000083,Sidcup,Bexley,"10,845",,,,
E05000084,Thamesmead East,Bexley,"12,225",,,,
E05000085,Alperton,Brent,"14,085",,,,
E05000086,Barnhill,Brent,"15,806",,,,
E05000087,Brondesbury Park,Brent,"13,071",,,,
E05000088,Dollis Hill,Brent,"13,442",,,,
E05000089,Dudden Hill,Brent,"15,145",,,,
E05000090,Fryent,Brent,"13,497",,,,
E05000091,Harlesden,Brent,"17,180",,,,
E05000092,Kensal Green,Brent,"14,975",,,,
E05000093,Kenton,Brent,"12,113",,,,
E05000094,Kilburn,Brent,"17,065",,,,
E05000095,Mapesbury,Brent,"15,637",,,,
E05000096,Northwick Park,Brent,"12,834",,,,
E05000097,Preston,Brent,"15,529",,,,
E05000098,Queens Park,Brent,"15,338",,,,
E05000099,Queensbury,Brent,"15,182",,,,
E05000100,Stonebridge,Brent,"16,941",,,,
E05000101,Sudbury,Brent,"15,004",,,,
E05000102,Tokyngton,Brent,"15,176",,,,
E05000103,Welsh Harp,Brent,"13,773",,,,
E05000104,Wembley Central,Brent,"14,804",,,,
E05000105,Willesden Green,Brent,"15,648",,,,
E05000106,Bickley,Bromley,"15,121",,,,
E05000107,Biggin Hill,Bromley,"9,967",,,,
E05000108,Bromley Common and Keston,Bromley,"15,163",,,,
E05000109,Bromley Town,Bromley,"16,944",,,,
E05000110,Chelsfield and Pratts Bottom,Bromley,"14,510",,,,
E05000111,Chislehurst,Bromley,"14,848",,,,
E05000112,Clock House,Bromley,"15,664",,,,
E05000113,Copers Cope,Bromley,"15,550",,,,
E05000114,Cray Valley East,Bromley,"15,548",,,,
E05000115,Cray Valley West,Bromley,"16,837",,,,
E05000116,Crystal Palace,Bromley,"12,432",,,,
E05000117,Darwin,Bromley,"5,114",,,,
E05000118,Farnborough and Crofton,Bromley,"14,641",,,,
E05000119,Hayes and Coney Hall,Bromley,"15,927",,,,
E05000120,Kelsey and Eden Park,Bromley,"15,919",,,,
E05000121,Mottingham and Chislehurst North,Bromley,"10,034",,,,
E05000122,Orpington,Bromley,"15,342",,,,
E05000123,Penge and Cator,Bromley,"17,445",,,,
